% Model,square_corner_jiaoluo.mph
% Version,COMSOL 6.3.0.290
% Date,"Jul 23 2026, 16:32"
% Table,表格 1 - 表面积分 1
% 特征频率 (Hz),电场模 (V*m)
0.29894393213266596+5.007963900810189E-9i,1.1814200573402182E15
0.2989485602028552+4.25530540807115E-9i,3.3638940859856694E14
0.29895123157892045+4.071535496128436E-9i,5.27610828975883E14
0.2989583515763291+3.3061904530606153E-9i,2.5015865378634128E14
0.3190763694248604+7.747160229478578E-8i,1.83313171521175136E17
0.321403771583271+5.908468565956607E-7i,5.8228888976855545E10
0.3328734440858671+1.6861897196559338E-7i,3.196690409802716E12
0.3403934864535496+5.545413472690794E-6i,8.193932405471855E12
0.36077375926060024+8.593266342459836E-4i,2.6255085929090562E14
0.36078907682989153+8.673964056306342E-4i,5.288712983186844E15
0.36082924091217805+8.728764027267175E-4i,3.9361769171174775E15
0.36097009733118085+9.007205564826263E-4i,3.649837555172014E15
